level	page_num	block_num	par_num	line_num	word_num	left	top	width	height	conf	text
1	1	0	0	0	0	0	0	806	284	-1	
2	1	1	0	0	0	48	33	198	103	-1	
3	1	1	1	0	0	48	33	198	103	-1	
4	1	1	1	1	0	48	33	178	27	-1	
5	1	1	1	1	1	48	35	32	21	55.858822	&
5	1	1	1	1	2	99	33	127	27	18.745365	APIALIE
4	1	1	1	2	0	73	112	173	24	-1	
5	1	1	1	2	1	73	114	38	20	81.068016	API
5	1	1	1	2	2	122	112	68	24	14.232912	ASE}
5	1	1	1	2	3	202	112	44	24	0.000000	AEH
2	1	2	0	0	0	63	197	297	21	-1	
3	1	2	1	0	0	63	197	297	21	-1	
4	1	2	1	1	0	63	197	297	21	-1	
5	1	2	1	1	1	63	199	26	17	59.845779	@
5	1	2	1	1	2	114	197	117	21	25.766281	SSAA
5	1	2	1	1	3	240	197	89	21	0.000000	Al_AS]
5	1	2	1	1	4	349	202	11	12	85.858086	x
